ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000976.SZ,20191025,5.13,5.19,5.04,5.16,5.14,0.02,0.3891,41139.36,21116.141
000976.SZ,20191028,5.16,5.21,5.1,5.16,5.16,0.0,0.0,65791.5,33840.003
000976.SZ,20191029,5.17,5.18,5.08,5.09,5.16,-0.07,-1.3566,55337.5,28255.958
000976.SZ,20191030,5.06,5.28,5.04,5.22,5.09,0.13,2.554,76235.32,39476.152
000976.SZ,20191031,5.22,5.22,5.07,5.15,5.22,-0.07,-1.341,41554.46,21370.64
000976.SZ,20191101,5.1,5.17,5.07,5.14,5.15,-0.01,-0.1942,29771.51,15251.942
000976.SZ,20191104,5.15,5.19,5.11,5.12,5.14,-0.02,-0.3891,31430.58,16183.45
000976.SZ,20191105,5.12,5.14,5.07,5.1,5.12,-0.02,-0.3906,37512.52,19124.251
000976.SZ,20191106,5.1,5.19,5.06,5.18,5.1,0.08,1.5686,46468.75,23677.86
000976.SZ,20191107,5.15,5.15,5.08,5.09,5.18,-0.09,-1.7375,27343.26,13956.874
000976.SZ,20191108,5.11,5.11,5.04,5.04,5.09,-0.05,-0.9823,33431.54,16946.25
000976.SZ,20191111,5.07,5.07,4.98,5.02,5.04,-0.02,-0.3968,34196.71,17152.489
000976.SZ,20191112,5.01,5.05,4.96,4.98,5.02,-0.04,-0.7968,45619.47,22773.493
000976.SZ,20191113,5.0,5.01,4.91,4.93,4.98,-0.05,-1.004,35395.0,17504.648
000976.SZ,20191114,4.99,5.01,4.92,4.97,4.93,0.04,0.8114,19020.25,9455.754
000976.SZ,20191115,4.97,5.06,4.96,4.98,4.97,0.01,0.2012,32768.25,16384.259
000976.SZ,20191118,4.97,5.02,4.93,5.01,4.98,0.03,0.6024,21298.99,10628.729
000976.SZ,20191119,5.0,5.24,5.0,5.17,5.01,0.16,3.1936,84848.97,43723.13
000976.SZ,20191120,5.17,5.24,5.1,5.17,5.17,0.0,0.0,43156.63,22329.59
000976.SZ,20191121,5.12,5.2,5.12,5.18,5.17,0.01,0.1934,31193.53,16149.297
000976.SZ,20191122,5.15,5.23,5.12,5.15,5.18,-0.03,-0.5792,48942.01,25270.726
000976.SZ,20191125,5.19,5.19,5.06,5.07,5.15,-0.08,-1.5534,33280.0,17020.414
000976.SZ,20191126,5.14,5.15,5.06,5.07,5.07,0.0,0.0,24861.28,12661.136
000976.SZ,20191127,5.06,5.08,5.02,5.03,5.07,-0.04,-0.789,25913.19,13076.445
000976.SZ,20191128,5.07,5.15,5.04,5.08,5.03,0.05,0.994,26698.24,13589.182
000976.SZ,20191129,5.11,5.11,4.92,5.11,5.08,0.03,0.5906,27220.0,13828.185
000976.SZ,20191202,5.11,5.11,5.04,5.07,5.11,-0.04,-0.7828,19005.61,9645.817
000976.SZ,20191203,5.03,5.08,5.02,5.07,5.07,0.0,0.0,13094.72,6616.489
000976.SZ,20191204,5.04,5.06,5.0,5.02,5.07,-0.05,-0.9862,21797.37,10944.315
000976.SZ,20191205,5.03,5.06,4.99,5.03,5.02,0.01,0.1992,43627.73,21892.529
000976.SZ,20191206,5.02,5.05,4.96,5.01,5.03,-0.02,-0.3976,39799.0,19920.633
000976.SZ,20191209,5.01,5.01,4.94,4.95,5.01,-0.06,-1.1976,63595.73,31659.132
000976.SZ,20191210,4.95,4.98,4.87,4.87,4.95,-0.08,-1.6162,70466.0,34583.615
000976.SZ,20191211,4.89,4.9,4.76,4.78,4.87,-0.09,-1.848,66015.4,31821.35
000976.SZ,20191212,4.8,4.89,4.78,4.8,4.78,0.02,0.4184,62529.63,30170.67
000976.SZ,20191213,4.81,4.85,4.76,4.8,4.8,0.0,0.0,56925.69,27306.131
000976.SZ,20191216,4.8,4.96,4.79,4.89,4.8,0.09,1.875,64699.39,31502.32
000976.SZ,20191217,4.89,4.96,4.83,4.94,4.89,0.05,1.0225,54400.97,26708.877
000976.SZ,20191218,4.96,5.07,4.93,4.97,4.94,0.03,0.6073,93273.46,46528.466
000976.SZ,20191219,4.97,5.25,4.96,5.19,4.97,0.22,4.4266,184511.56,94835.377
000976.SZ,20191220,5.15,5.32,5.11,5.2,5.19,0.01,0.1927,123406.39,64224.263
000976.SZ,20191223,5.25,5.25,5.04,5.07,5.2,-0.13,-2.5,109581.4,56421.858
000976.SZ,20191224,5.11,5.14,5.05,5.12,5.07,0.05,0.9862,64321.26,32744.872
000976.SZ,20191225,5.12,5.18,5.06,5.13,5.12,0.01,0.1953,63782.34,32633.428
000976.SZ,20191226,5.13,5.15,5.0,5.06,5.13,-0.07,-1.3645,122278.02,61866.557
